ID,Target
135501,0
112251,0
6295,1
290358,0
16704,0
189111,0
183784,0
126487,0
14721,1
286398,0
23443,0
265175,0
71063,0
253810,0
258377,0
3919,0
83209,0
246365,0
179224,0
53865,0
62340,0
257252,0
175852,1
213058,0
154939,0
119530,1
93353,0
73621,0
165363,0
236069,0
290803,0
95320,0
106414,0
72192,0
186401,0
95837,0
272847,0
72718,0
173382,0
206604,0
9951,0
61738,0
54045,0
188275,0
228264,0
117205,0
279343,0
8742,0
172802,0
196878,0
253635,0
46447,0
267477,0
211232,0
255222,0
259941,0
70544,0
294341,0
181814,0
293803,0
230162,1
1248,0
288705,0
264290,0
119132,0
297618,0
193808,1
47965,0
65549,0
54330,1
30934,0
52384,0
241944,0
288960,0
23273,0
122747,0
126392,0
201638,1
166210,1
243970,0
197156,0
23700,0
218814,0
194834,0
199240,0
35765,1
249384,0
186395,0
200932,0
62629,1
102227,0
39523,0
141372,0
248930,1
296053,0
145505,0
115306,0
205283,0
67691,0
45745,0
156013,0
227213,0
220002,0
154683,0
193818,0
137927,0
170440,0
130753,0
82174,0
269909,0
120417,0
178808,1
214342,0
200312,0
208364,1
91211,0
88037,1
247922,0
75391,0
116111,1
41548,0
209932,1
113868,0
273216,0
200867,0
146937,0
220273,0
28218,0
243708,0
43746,0
210970,0
200029,0
73992,0
5873,0
75210,0
157440,0
67055,0
137638,0
233951,1
189191,0
133524,0
65716,0
238846,0
139563,1
160706,0
183111,0
166216,0
230882,0
77041,0
162914,0
56005,0
245486,0
171038,0
94584,0
25811,0
7652,0
290660,0
49739,0
138142,0
85450,0
175182,1
152206,0
181532,0
294401,0
155296,0
225521,0
279866,0
212301,0
221648,0
203373,0
276092,0
165006,0
237390,1
295741,0
226898,0
5892,0
126451,0
65306,0
242781,0
277985,0
140508,0
107305,0
250535,0
20158,0
105365,0
53483,0
224095,0
11247,0
117583,0
30506,0
94912,0
244873,1
112024,0
105219,0
62261,0
67850,0
205298,0
233592,0
157010,0
239137,0
208806,0
169191,0
127473,0
82155,0
185985,0
3383,0
28924,0
12536,0
206394,0
8668,0
44178,0
157252,0
192074,0
99406,0
88269,0
258638,0
39774,0
21956,0
189599,0
113155,0
169102,0
264031,0
141329,0
134179,0
81992,0
177600,0
71367,0
104460,0
46654,0
204676,0
195289,0
159732,0
45849,0
65764,0
32443,0
124398,0
98740,0
267974,0
130575,0
269885,0
213472,0
43035,0
235740,0
183277,0
237554,0
190442,0
155093,0
148191,0
233763,0
166370,0
115967,0
186420,0
255902,0
27001,0
71031,0
163063,0
129474,0
233860,0
158571,0
296544,0
38190,0
159026,0
277966,0
24451,0
222120,0
198726,0
254734,0
269524,0
18091,0
176337,0
54744,1
59708,0
251837,0
255218,0
152633,0
146841,0
132239,0
156810,0
7616,0
298043,0
118339,0
67887,0
45032,0
137789,0
88567,0
190570,0
179307,0
206349,0
92853,0
122756,0
231194,0
98207,1
183460,0
32862,0
215704,0
233100,0
9617,0
126085,0
263924,0
130682,1
52236,0
273194,0
171639,0
18069,0
89169,0
71975,0
118511,0
220637,0
68492,0
283697,0
252198,0
169741,0
59927,0
67580,0
296905,0
117452,0
188758,0
36479,0
295405,0
25702,0
182782,0
110186,0
54278,1
53926,0
251577,0
248939,0
260370,0
198510,0
171729,0
281697,1
266884,0
78466,0
63145,1
87184,0
122125,0
63378,0
74530,0
127319,0
215787,0
284112,0
160409,0
97568,0
136801,0
157742,0
199213,0
43743,0
247588,0
278253,0
124667,0
51091,0
67017,0
179957,0
768,0
172607,0
309,0
74641,0
201886,0
213064,0
243727,0
102752,0
232712,0
184177,0
213865,0
201692,0
67356,0
139198,0
277458,0
108500,0
147097,0
5871,0
54889,0
145628,0
92756,0
233,0
212567,0
194567,0
170437,0
222038,0
257560,0
292713,0
293190,0
152182,0
151591,0
203324,0
13414,0
245113,0
128932,0
83914,0
295568,0
167623,0
75835,0
36529,0
278166,0
56270,0
131062,0
170945,0
180658,0
86631,0
197451,0
183625,1
220665,0
92932,0
146635,0
286389,0
214215,0
281334,0
16041,0
94371,0
170537,0
8111,0
130220,0
279360,0
163786,0
176493,0
158615,0
273065,0
212313,0
51340,0
101980,0
234753,0
140873,0
288497,0
262219,0
139430,0
163898,0
166219,0
176126,0
6934,0
191309,0
220943,0
218783,0
115955,0
40292,0
135815,0
282856,0
199689,0
217685,0
48304,0
102201,0
39196,0
229340,0
156234,0
169385,0
35583,0
176532,0
298070,0
139931,0
218341,0
87191,0
140923,0
284781,0
55300,0
206728,0
120391,0
14824,0
258313,0
235785,0
16441,0
177446,0
208469,0
193195,0
295219,0
206399,0
236101,0
109353,0
175068,0
232451,0
164645,0
294784,0
203916,0
55902,0
217908,0
27824,0
238286,0
96359,0
19761,0
82505,0
199661,0
5210,0
867,0
66501,0
42256,0
137574,0
74445,0
266527,0
72756,0
290552,0
297909,0
70409,0
151020,0
22463,0
253963,0
40469,0
296947,0
256599,0
174183,0
158254,0
233292,0
227381,0
211426,0
164876,0
279247,0
222610,0
25382,0
285742,0
265116,0
13349,0
232211,0
130236,0
164420,0
168527,0
66467,0
141999,0
102689,0
26930,0
187854,0
197094,0
194200,0
250326,0
22926,0
103609,0
84232,0
153994,0
173983,1
284669,0
5925,0
125931,0
226443,0
248862,0
175829,0
178756,0
13867,0
141495,0
236263,0
112890,0
50698,0
54569,0
150291,0
30021,0
173556,0
267714,0
65779,0
6980,0
213151,0
219175,0
53910,0
56864,0
164989,0
123772,0
3530,0
223175,0
283466,0
232351,0
42850,0
282067,0
292507,0
34182,0
39656,0
239509,0
85122,0
125308,0
212290,0
237279,0
160481,0
217874,0
125536,0
135780,0
146890,0
140688,0
213623,0
105135,0
294221,0
261586,0
172799,0
172796,1
62722,0
187899,0
203849,0
280795,0
173421,1
30033,0
233943,0
200062,0
77561,1
33361,0
154615,0
170707,0
72820,0
73354,0
296543,0
151022,0
273308,0
194542,0
287470,0
44716,0
209750,0
151088,0
107844,0
77161,0
260239,0
140809,0
165500,0
197369,0
109488,0
286524,0
172555,0
294434,0
52458,0
138633,0
120781,0
114548,0
88356,0
258647,0
105183,0
159759,0
57201,0
236458,0
154862,0
273418,0
253947,0
265429,0
124153,0
24142,0
66139,0
238230,0
62043,1
196309,0
289060,0
99221,0
204696,0
48484,0
137639,0
216130,0
277320,0
241893,0
71994,0
31954,0
45598,0
99205,0
176559,0
79640,0
22058,0
166737,0
27068,0
77620,0
284359,0
33191,0
199782,0
192101,0
107883,0
220585,0
141073,0
246005,0
28681,0
163529,0
209548,0
6211,1
278333,1
215064,0
19843,0
148675,0
27748,0
251472,0
245583,1
15380,0
91670,0
25813,0
46370,0
74705,0
1016,0
245573,0
274518,0
288355,0
147282,0
249290,0
2341,0
210173,0
264663,0
289140,0
148300,0
133419,0
200071,0
97466,0
223418,0
218573,0
237609,0
122329,0
75203,0
197222,0
244548,0
84582,0
65890,0
194514,0
169706,0
66785,0
166503,0
27927,0
218540,0
51822,0
6610,0
179342,0
280901,0
40475,0
45778,0
62917,0
204929,0
232741,0
113410,0
235637,0
58460,0
202813,0
107515,0
227822,0
165158,0
66557,0
257746,0
276091,0
299112,0
211109,0
162922,0
165969,0
26966,0
76202,0
62762,0
60894,0
154617,0
243954,0
162616,0
249620,0
23582,0
112510,0
58947,1
160336,0
14075,0
134316,0
125313,0
269306,0
31294,0
68420,0
234585,0
261683,0
255863,0
85645,0
170087,0
8474,0
126448,0
81471,0
127785,0
288259,0
250916,0
161402,0
54232,0
9129,0
244404,0
281264,0
209275,0
112709,0
286350,0
92722,0
286262,0
58801,0
37208,0
67746,0
168053,0
270250,0
9219,0
115416,0
190406,0
226892,0
60347,0
112207,0
129979,0
187822,0
6269,0
165016,0
30040,0
260246,0
57211,0
99662,0
280222,0
193804,0
56594,0
89368,0
299003,0
164401,1
40630,0
109446,0
130282,0
3155,0
68770,0
245478,0
228696,0
182180,0
199120,0
11678,0
55037,0
223987,1
52091,0
72207,0
86398,0
274949,0
5643,0
271351,0
225813,0
119472,0
105986,0
123232,0
41815,0
200438,0
228534,0
85301,1
137767,0
275170,0
289080,0
234142,0
71254,0
151463,0
223008,0
2120,0
217239,0
35211,0
162610,0
296367,0
68558,0
25976,0
67938,0
101775,0
121462,0
242522,0
244831,0
81362,0
255786,1
154465,0
140145,0
4934,0
288556,0
210415,0
72597,0
101686,1
112773,0
123538,0
139333,0
224290,1
161808,0
5082,0
4377,0
13560,0
62298,0
89573,0
115714,0
156123,0
197643,0
220807,0
173804,0
249814,0
110887,0
283511,0
46763,0
282454,0
154481,0
186225,0
254329,0
141539,0
224535,0
34787,0
282575,0
16570,0
186228,0
187639,0
104886,0
28491,0
71186,0
17444,0
65928,0
293687,1
279267,0
82650,0
50398,0
119802,0
93733,0
19197,0
165762,0
286821,0
49266,0
17127,0
143407,0
98112,0
248560,0
222074,0
46986,0
12457,1
244205,0
195428,0
204755,0
150851,0
209366,0
41135,0
167015,0
117638,0
185169,0
